Wavelength,SAPONITE,SMECTITE,NONTRONITE,SERPENTINE,MONTMORILLONITE,KAOLINITE,GYPSUM,JAROSITE,KIESERITE,SZOMOLNOKITE,CALCITE,MAGNESITE,PYROXENE,PLAGIOCLASE,QUARTZ,FAYALITE,FORSTERITE,OLIVINE,HEMATITE,GOETHITE
0.615,0.723137,0.42605,0.364164,0.043667,0.525386,0.844148,0.948078,0.464972,0.825449,0.58822,0.864649,0.855898,0.715788,0.292344,0.864737,0.243312,0.67526,0.736154,0.05305,0.159697
0.6175,0.723573,0.426767,0.362811,0.043421,0.53145,0.845008,0.947858,0.463736,0.825797,0.59038,0.865456,0.855172,0.716595,0.293168,0.865034,0.244035,0.674448,0.735515,0.0531,0.159465
0.62,0.724009,0.427485,0.361458,0.043174,0.537514,0.845869,0.947638,0.462501,0.826145,0.59254,0.866264,0.854445,0.717402,0.293993,0.865332,0.244758,0.673636,0.734876,0.05315,0.159234
0.6225,0.724666,0.428061,0.360328,0.043163,0.543018,0.84656,0.947457,0.462273,0.8268,0.594485,0.865912,0.85537,0.718074,0.294617,0.865201,0.244877,0.67257,0.734654,0.05316,0.158844
0.625,0.725324,0.428638,0.359199,0.043152,0.548521,0.847251,0.947277,0.462045,0.827455,0.59643,0.86556,0.856295,0.718746,0.29524,0.865069,0.244996,0.671505,0.734433,0.05317,0.158453
0.6275,0.72676,0.429844,0.358575,0.043066,0.553959,0.848384,0.948177,0.461017,0.82811,0.598075,0.864831,0.855269,0.717908,0.2964,0.864864,0.246469,0.671064,0.734154,0.053175,0.158406
0.63,0.728196,0.431051,0.35795,0.04298,0.559398,0.849517,0.949076,0.459989,0.828765,0.59972,0.864102,0.854243,0.71707,0.297559,0.864659,0.247943,0.670623,0.733874,0.05318,0.15836
0.6325,0.729068,0.432308,0.357651,0.042904,0.564514,0.85076,0.948452,0.460133,0.829648,0.60112,0.865623,0.854644,0.71769,0.298155,0.864861,0.248762,0.670311,0.733149,0.05316,0.158152
0.635,0.72994,0.433566,0.357352,0.042828,0.569629,0.852002,0.947827,0.460278,0.830532,0.60252,0.867143,0.855045,0.71831,0.298751,0.865064,0.249582,0.669999,0.732424,0.05314,0.157943
0.6375,0.730903,0.43467,0.356998,0.042725,0.573714,0.852742,0.947427,0.460449,0.830723,0.603415,0.8675,0.854322,0.718855,0.299375,0.864918,0.250865,0.67003,0.732878,0.05314,0.158009
0.64,0.731866,0.435774,0.356644,0.042623,0.5778,0.853482,0.947027,0.46062,0.830914,0.60431,0.867858,0.853599,0.7194,0.299999,0.864772,0.252149,0.67006,0.733331,0.05314,0.158074
